rank,ts_code,score,buy_price,liquidity,替代
51,000919.SZ,2.948019504547119,0,差,当002591.SZ买不到时使用
52,300425.SZ,2.947906017303467,0,中,当002486.SZ买不到时使用
53,300931.SZ,2.9462502002716064,0,差,当603818.SH买不到时使用
54,300283.SZ,2.9285051822662354,0,差,当002769.SZ买不到时使用
55,603057.SH,2.925867795944214,0,差,当300801.SZ买不到时使用
56,002492.SZ,2.9094913005828857,0,差,当002790.SZ买不到时使用
57,600790.SH,2.900599241256714,0,差,当301198.SZ买不到时使用
58,301011.SZ,2.8957085609436035,0,差,当688079.SH买不到时使用
59,002637.SZ,2.8644864559173584,0,差,当300410.SZ买不到时使用
60,000788.SZ,2.8290815353393555,0,差,当603810.SH买不到时使用
61,000548.SZ,2.7857749462127686,0,差,当000570.SZ买不到时使用
62,603020.SH,2.776970624923706,0,差,当603289.SH买不到时使用
63,002615.SZ,2.7632901668548584,0,差,当002659.SZ买不到时使用
64,002627.SZ,2.7593085765838623,0,差,当002638.SZ买不到时使用
65,603861.SH,2.72277569770813,0,差,当300736.SZ买不到时使用
66,600128.SH,2.7065436840057373,0,差,当300642.SZ买不到时使用
67,600333.SH,2.6939423084259033,0,差,当001228.SZ买不到时使用
68,000892.SZ,2.686340093612671,0,差,当603787.SH买不到时使用
69,002057.SZ,2.6840784549713135,0,差,当600429.SH买不到时使用
70,300499.SZ,2.6734652519226074,0,差,当301017.SZ买不到时使用
71,002363.SZ,2.6734378337860107,0,差,当000757.SZ买不到时使用
72,002159.SZ,2.646315336227417,0,差,当603115.SH买不到时使用
73,002761.SZ,2.6417267322540283,0,差,当000529.SZ买不到时使用
74,000007.SZ,2.6384940147399902,0,差,当301246.SZ买不到时使用
75,600716.SH,2.6294376850128174,0,差,当603221.SH买不到时使用
76,603012.SH,2.597900390625,0,差,当300365.SZ买不到时使用
77,688509.SH,2.5931379795074463,0,差,当600272.SH买不到时使用
78,300239.SZ,2.5887038707733154,0,差,当300358.SZ买不到时使用
79,300289.SZ,2.555511713027954,0,中,当002216.SZ买不到时使用
80,001202.SZ,2.550102949142456,0,差,当603122.SH买不到时使用
81,000619.SZ,2.502411127090454,0,中,当300317.SZ买不到时使用
82,688238.SH,2.4911582469940186,0,差,当301332.SZ买不到时使用
83,000417.SZ,2.4703478813171387,0,差,当600337.SH买不到时使用
84,300483.SZ,2.4691050052642822,0,中,当000978.SZ买不到时使用
85,603811.SH,2.4627697467803955,0,差,当601218.SH买不到时使用
86,600613.SH,2.4467756748199463,0,差,当300929.SZ买不到时使用
87,300774.SZ,2.4452250003814697,0,差,当603136.SH买不到时使用
88,301060.SZ,2.4372384548187256,0,中,当002420.SZ买不到时使用
89,002377.SZ,2.417428493499756,0,差,当603032.SH买不到时使用
90,300279.SZ,2.4109342098236084,0,差,当603808.SH买不到时使用
91,300066.SZ,2.4018478393554688,0,差,当300272.SZ买不到时使用
92,603759.SH,2.4010062217712402,0,差,当300614.SZ买不到时使用
93,000863.SZ,2.392772912979126,0,差,当688679.SH买不到时使用
94,603187.SH,2.391173839569092,0,中,当000692.SZ买不到时使用
95,300111.SZ,2.388831377029419,0,差,当000020.SZ买不到时使用
96,688222.SH,2.3781306743621826,0,差,当000812.SZ买不到时使用
97,002712.SZ,2.3531556129455566,0,差,当603687.SH买不到时使用
98,300966.SZ,2.3513882160186768,0,差,当002787.SZ买不到时使用
99,000798.SZ,2.3513128757476807,0,中,当002209.SZ买不到时使用
100,300805.SZ,2.3389503955841064,0,差,当600356.SH买不到时使用
101,688733.SH,2.3293216228485107,0,差,当目标股买不到时使用
102,601566.SH,2.2902214527130127,0,差,当目标股买不到时使用
103,002543.SZ,2.286320924758911,0,差,当目标股买不到时使用
104,600132.SH,2.284681558609009,0,差,当目标股买不到时使用
105,600322.SH,2.2783474922180176,0,差,当目标股买不到时使用
106,002029.SZ,2.2711524963378906,0,差,当目标股买不到时使用
107,000803.SZ,2.2700111865997314,0,差,当目标股买不到时使用
108,603900.SH,2.262075662612915,0,差,当目标股买不到时使用
109,002344.SZ,2.2575924396514893,0,差,当目标股买不到时使用
110,300291.SZ,2.254807472229004,0,差,当目标股买不到时使用
111,601518.SH,2.2475526332855225,0,差,当目标股买不到时使用
112,300086.SZ,2.241769790649414,0,差,当目标股买不到时使用
113,301370.SZ,2.2333199977874756,0,差,当目标股买不到时使用
114,600594.SH,2.2328438758850098,0,差,当目标股买不到时使用
115,002969.SZ,2.2226405143737793,0,差,当目标股买不到时使用
116,605162.SH,2.220273971557617,0,差,当目标股买不到时使用
117,300439.SZ,2.20959734916687,0,中,当目标股买不到时使用
118,600682.SH,2.201638698577881,0,中,当目标股买不到时使用
119,600526.SH,2.199071168899536,0,差,当目标股买不到时使用
120,002392.SZ,2.1947929859161377,0,差,当目标股买不到时使用
121,002561.SZ,2.1881392002105713,0,差,当目标股买不到时使用
122,301102.SZ,2.179492712020874,0,差,当目标股买不到时使用
123,000498.SZ,2.175840377807617,0,差,当目标股买不到时使用
124,600977.SH,2.1714417934417725,0,差,当目标股买不到时使用
125,002314.SZ,2.166419267654419,0,差,当目标股买不到时使用
126,600597.SH,2.158482789993286,0,差,当目标股买不到时使用
127,600395.SH,2.1567962169647217,0,差,当目标股买不到时使用
128,603700.SH,2.1555559635162354,0,差,当目标股买不到时使用
129,002186.SZ,2.15044903755188,0,差,当目标股买不到时使用
